text,sentiment
di saat rakyat teriak listrik naik duit susah dicari pengangguran naik rakyat buntut keadilan sang raja malah berpesta,negative
"wah berarti ini keluarga rusak ya . sudah rumah tangga hancur , ahok dan verro sama sama penjahat .",negative
"dengan membeli morinaga chil kid dan chil school senilai rp 500 . 000 , bunda akan mendapatkan voucher gopay rp 50 . 000 .",neutral
"hai kakak , pembayaran dapat dicoba kembali melalui va bni dengan no rek 9880988622415253 dan kirim bukti bayar melalui email info : 1500 - 6339",neutral
jual pembalut pergelangan tangan wrist band / wrist wrap - toko olahraga paser jaya tokopedia lewat,neutral
"101 dalmatians : the series adalah sebuah seri animasi televisi yang diproduksi oleh disney television animation , bekerja sama dengan jumbo pictures .",neutral
jual meat grinder manual penggiling daging sayuran buah pasta meat mincer - magic Jakarta tokopedia .,neutral
"tempat ini sungguh sangat mengasyikkan . terkahir ke sini saya bersama rekan rekan dan tamu kantor untuk bersantap malam di sini . mungkin ada sekitar 30 orang dan tempat nya cukup tidak kurang satu apa pun , pelayanan nya pun sangat baik . makanan nya enak-enak , terutama pizza nya dan banana pancake nya pun mantap ! selain makanan , tempat nya pun sungguh sangat terjangkau karena berada di tengah tengah kota .",positive
"fraksi gerindra kalah di basis , sah : kita pertanyakan loyalitas nya terhadap prabowo",neutral
"maaf minimal , bukan nomer saya saja yang begitu , saya tanya semua yang pakai sel di daerah situ , mengalahkan hal yang sama , masih tidak mau nga ku juga kalau memang sinyal nya yang jelek",negative
siapa lagi dalang nya ? ya jelas tikus got yang itu-itu aja bro .,negative
"batagor atau bakso tahu goreng adalah makanan khas bandung . di kingsley , batagor yang dijual berbeda dan berkualitas premium . ukuran nya besar , menggunakan tahu yun yi putih yang lembut dan mantap , rasa ikan nya pun sangat terasa . batagor bisa dipesan matang maupun setengah matang tahan 3 hari di dalam kulkas , jika ditaruh di freezer bisa lebih lama .",positive
dapatkan diskon 15 % setiap senin - jumat di pizza hut dengan kartu kredit bni .,neutral
kami makan di sini untuk pertama kali dan kami memilih untuk duduk di lesehan . terus terang kami merasa sangat tidak nyaman karena ada kucing-kucing yang berkeliaran dan parah nya kucing tersebut bisa sampai meloncat naik ke atas meja ! pelayan nya sudah dikasih tahu tapi hanya mengusir sara biasa saja dan hal tersebut mengakibatkan kucing tersebut kembali lagi . !! seharusnya mereka menjaga dan membawa kucing itu .,negative
"ayo , minimal dengan media , kita berjuang bela muslim rohingya , saudara kita yang sedang mengalami penderitaan , pembantaian dari kelompok agama biadab yang sangat intolerant !",negative
"bohong banget tropicana slim tidak bikin diabetes , nih bukti nya bapak saya tetap kena !",negative
"pki partai koruptor indonesia , setuju bang bakar saja bang sarang nya . di mana ya , koruptor beda tipis dengan teroris penghianat rakyat",negative
"produksi lagi dong indomi goreng sate . dicari-cari sudah tidak ada karena , rasanya enak beda dngan rasa sate merk lain",positive
info refundable atau tidak sudah terdapat di pesan summary dan saat pengisian data penumpang ya .,neutral
terdapat belasan cabang olahraga yang dimenangkan oleh indonesia pada asean games 2018 .,neutral
"anak bungsu susilo bambang yudhoyono , edhi baskoro yudhoyono atau ibas baru saja dikaruniai anak ketiga .",neutral
"ada banyak kan , bu risma bisa , walikota semarang bisa , bupati kudus bisa , itu sudah banyak yang mendaftar ke pdip tinggal pilih",neutral
"kemarin saya berkunjung ke dusun bambu dengan keluarga saya , padahal saya datang tidak saat liburan , tapi pengunjung bisa dibilang ramai . ini kunjungan ketiga kalinya untuk saya , saat pertama ke sini belum ada wilayah bamboo playground dan rabbit wonderland . untuk masuk ke bamboo playground anda akan diminta membayar tiket sebesar 50k , sedangkan untuk wonderland anda membayar 35k ada 2 konsep tempat makan . saya tidak akan bosan main ke sini .",positive
"kasihan sekali kamu bos , siapa lagi yang mau dengar nyinyiran yang tidak bermutu , lebih baik diam saja . nikmati mpp saja . oke",negative
"ibu macam apa yang mudah nya teriak kamu pembohong , kamu pembangkang , mungkin memang salah orang tua yang tidak becus mendidik anak .",negative
"menyesal kami mengadakan acara makan malam di restoran ini . bersama rekan-rekan kantor , saat itu kami pesan beberapa macam menu , di antara nya beef steak , buntut bakar , udon soup , hot chocolate , dan es kopi . untuk rasa makanan , standar saja , biasa-biasa saja ! tidak ada yang istimewa , hanya istimewa pada tempat nya saja yang elite .",negative
"kampung bareto terletak di dataran tinggi bandung utara . menyajikan makanan indonesia dan makanan barat dengan saung lesehan dan meja makan . bisa juga digunakan untuk pertemuan keluarga , arisan dan makan bersama teman dalam jumlah banyak . cocok untuk menjamu tamu dan bersantai . setiap malam minggu disajikan musik live . tersedia juga kolam ikan untuk memancing . harga makanan di bawah 100k id. suasana nya tenang dengan pelayan yang sangat baik .",positive
