text,sentiment,cleaning,casefolding,tokenizing,normalisasi,stopword,steeming,cleaned
"tokoh-tokoh penggerak gerakan partai pki indonesia : sby , iwan skeneder , paul dundes woolvowiz , oliver north , calvin haris , agung sasongko , putra mas agung , agung priyambodo , eko pratomo curup jehan , dan si : kopral pki tri sutrisno c.s. .",neutral,tokoh tokoh penggerak gerakan partai pki indonesia sby iwan skeneder paul dundes woolvowiz oliver north calvin haris agung sasongko putra mas agung agung priyambodo eko pratomo curup jehan dan si kopral pki tri sutrisno cs ,tokoh tokoh penggerak gerakan partai pki indonesia sby iwan skeneder paul dundes woolvowiz oliver north calvin haris agung sasongko putra mas agung agung priyambodo eko pratomo curup jehan dan si kopral pki tri sutrisno cs ,"['tokoh', 'tokoh', 'penggerak', 'gerakan', 'partai', 'pki', 'indonesia', 'sby', 'iwan', 'skeneder', 'paul', 'dundes', 'woolvowiz', 'oliver', 'north', 'calvin', 'haris', 'agung', 'sasongko', 'putra', 'mas', 'agung', 'agung', 'priyambodo', 'eko', 'pratomo', 'curup', 'jehan', 'dan', 'si', 'kopral', 'pki', 'tri', 'sutrisno', 'cs']","['tokoh', 'tokoh', 'penggerak', 'gerakan', 'partai', 'pki', 'indonesia', 'sby', 'iwan', 'skeneder', 'paul', 'dundes', 'woolvowiz', 'oliver', 'north', 'calvin', 'haris', 'agung', 'sasongko', 'putra', 'mas', 'agung', 'agung', 'priyambodo', 'eko', 'pratomo', 'curup', 'jehan', 'dan', 'sih', 'kopral', 'pki', 'tri', 'sutrisno', 'cs']","['tokoh', 'tokoh', 'penggerak', 'gerakan', 'partai', 'pki', 'indonesia', 'sby', 'iwan', 'skeneder', 'paul', 'dundes', 'woolvowiz', 'oliver', 'north', 'calvin', 'haris', 'agung', 'sasongko', 'putra', 'mas', 'agung', 'agung', 'priyambodo', 'eko', 'pratomo', 'curup', 'jehan', 'sih', 'kopral', 'pki', 'tri', 'sutrisno', 'cs']","['tokoh', 'tokoh', 'gerak', 'gera', 'partai', 'pki', 'indonesia', 'sby', 'iwan', 'skeneder', 'paul', 'dundes', 'woolvowiz', 'oliver', 'north', 'calvin', 'haris', 'agung', 'sasongko', 'putra', 'mas', 'agung', 'agung', 'priyambodo', 'eko', 'pratomo', 'curup', 'jehan', 'sih', 'kopral', 'pki', 'tri', 'sutrisno', 'cs']",tokoh tokoh gerak gera partai pki indonesia sby iwan skeneder paul dundes woolvowiz oliver north calvin haris agung sasongko putra mas agung agung priyambodo eko pratomo curup jehan sih kopral pki tri sutrisno cs
"shalom ! ada yang sudah pernah bertemu muhammad atu allah swt dalam mimpi ? kalau kristian bertemu jesus sudah ada ya saya sendiri . ateis , buddha , hindu , bahkan islam semua pernah dijamah jesus bila buka hati . di youtube banyak . tapi saya tidak pernah dengar ada manusia dijamah muhammad atau allah . banyak orang itu mualaf karena mau kawin atau poligami . tapi mau murtad takut .",negative,shalom ada yang sudah pernah bertemu muhammad atu allah swt dalam mimpi kalau kristian bertemu jesus sudah ada ya saya sendiri ateis buddha hindu bahkan islam semua pernah dijamah jesus bila buka hati di youtube banyak tapi saya tidak pernah dengar ada manusia dijamah muhammad atau allah banyak orang itu mualaf karena mau kawin atau poligami tapi mau murtad takut ,shalom ada yang sudah pernah bertemu muhammad atu allah swt dalam mimpi kalau kristian bertemu jesus sudah ada ya saya sendiri ateis buddha hindu bahkan islam semua pernah dijamah jesus bila buka hati di youtube banyak tapi saya tidak pernah dengar ada manusia dijamah muhammad atau allah banyak orang itu mualaf karena mau kawin atau poligami tapi mau murtad takut ,"['shalom', 'ada', 'yang', 'sudah', 'pernah', 'bertemu', 'muhammad', 'atu', 'allah', 'swt', 'dalam', 'mimpi', 'kalau', 'kristian', 'bertemu', 'jesus', 'sudah', 'ada', 'ya', 'saya', 'sendiri', 'ateis', 'buddha', 'hindu', 'bahkan', 'islam', 'semua', 'pernah', 'dijamah', 'jesus', 'bila', 'buka', 'hati', 'di', 'youtube', 'banyak', 'tapi', 'saya', 'tidak', 'pernah', 'dengar', 'ada', 'manusia', 'dijamah', 'muhammad', 'atau', 'allah', 'banyak', 'orang', 'itu', 'mualaf', 'karena', 'mau', 'kawin', 'atau', 'poligami', 'tapi', 'mau', 'murtad', 'takut']","['shalom', 'ada', 'yang', 'sudah', 'pernah', 'bertemu', 'muhammad', 'satu', 'allah', 'swt', 'dalam', 'mimpi', 'kalau', 'kristian', 'bertemu', 'jesus', 'sudah', 'ada', 'ya', 'saya', 'sendiri', 'ateis', 'buddha', 'hindu', 'bahkan', 'islam', 'semua', 'pernah', 'dijamah', 'jesus', 'bila', 'buka', 'hati', 'di', 'youtube', 'banyak', 'tapi', 'saya', 'tidak', 'pernah', 'dengar', 'ada', 'manusia', 'dijamah', 'muhammad', 'atau', 'allah', 'banyak', 'orang', 'itu', 'mualaf', 'karena', 'mau', 'kawin', 'atau', 'poligami', 'tapi', 'mau', 'murtad', 'takut']","['shalom', 'bertemu', 'muhammad', 'allah', 'swt', 'mimpi', 'kristian', 'bertemu', 'jesus', 'ya', 'ateis', 'buddha', 'hindu', 'islam', 'dijamah', 'jesus', 'buka', 'hati', 'youtube', 'dengar', 'manusia', 'dijamah', 'muhammad', 'allah', 'orang', 'mualaf', 'kawin', 'poligami', 'murtad', 'takut']","['shalom', 'temu', 'muhammad', 'allah', 'swt', 'mimpi', 'kristian', 'temu', 'jesus', 'ya', 'ateis', 'buddha', 'hindu', 'islam', 'jamah', 'jesus', 'buka', 'hati', 'youtube', 'dengar', 'manusia', 'jamah', 'muhammad', 'allah', 'orang', 'mualaf', 'kawin', 'poligami', 'murtad', 'takut']",shalom temu muhammad allah swt mimpi kristian temu jesus ya ateis buddha hindu islam jamah jesus buka hati youtube dengar manusia jamah muhammad allah orang mualaf kawin poligami murtad takut
"maret 2017 pemberitaan ketum parpol tak sepanas pebruari , ketum golkar kala itu memuncaki pemberitaan dengan 380 berita posisi kedua ketum .",neutral,maret pemberitaan ketum parpol tak sepanas pebruari ketum golkar kala itu memuncaki pemberitaan dengan berita posisi kedua ketum ,maret pemberitaan ketum parpol tak sepanas pebruari ketum golkar kala itu memuncaki pemberitaan dengan berita posisi kedua ketum ,"['maret', 'pemberitaan', 'ketum', 'parpol', 'tak', 'sepanas', 'pebruari', 'ketum', 'golkar', 'kala', 'itu', 'memuncaki', 'pemberitaan', 'dengan', 'berita', 'posisi', 'kedua', 'ketum']","['maret', 'pemberitaan', 'ketum', 'parpol', 'tak', 'sepanas', 'pebruari', 'ketum', 'golkar', 'kala', 'itu', 'memuncaki', 'pemberitaan', 'dengan', 'berita', 'posisi', 'kedua', 'ketum']","['maret', 'pemberitaan', 'ketum', 'parpol', 'sepanas', 'pebruari', 'ketum', 'golkar', 'memuncaki', 'pemberitaan', 'berita', 'posisi', 'ketum']","['maret', 'berita', 'tum', 'parpol', 'panas', 'pebruari', 'tum', 'golkar', 'puncak', 'berita', 'berita', 'posisi', 'tum']",maret berita tum parpol panas pebruari tum golkar puncak berita berita posisi tum
bagi penulis-penulis gpu yang berminat ikut serta dalam gerakan 4b bersama redaksi gpu pada tanggal 25 maret 2018 .,neutral,bagi penulis penulis gpu yang berminat ikut serta dalam gerakan b bersama redaksi gpu pada tanggal maret ,bagi penulis penulis gpu yang berminat ikut serta dalam gerakan b bersama redaksi gpu pada tanggal maret ,"['bagi', 'penulis', 'penulis', 'gpu', 'yang', 'berminat', 'ikut', 'serta', 'dalam', 'gerakan', 'b', 'bersama', 'redaksi', 'gpu', 'pada', 'tanggal', 'maret']","['bagi', 'penulis', 'penulis', 'gpu', 'yang', 'berminat', 'ikut', 'serta', 'dalam', 'gerakan', 'b', 'bersama', 'redaksi', 'gpu', 'pada', 'tanggal', 'maret']","['penulis', 'penulis', 'gpu', 'berminat', 'gerakan', 'b', 'redaksi', 'gpu', 'tanggal', 'maret']","['tulis', 'tulis', 'gpu', 'minat', 'gera', 'b', 'redaksi', 'gpu', 'tanggal', 'maret']",tulis tulis gpu minat gera b redaksi gpu tanggal maret
bagus nya kalau peduli atas pelaku lgbt kita gelar rajam lempar batu di monas buat pelaku lgbt biar yang lainnya tobat dan darah nya dapat mengampuni khilaf nya,negative,bagus nya kalau peduli atas pelaku lgbt kita gelar rajam lempar batu di monas buat pelaku lgbt biar yang lainnya tobat dan darah nya dapat mengampuni khilaf nya,bagus nya kalau peduli atas pelaku lgbt kita gelar rajam lempar batu di monas buat pelaku lgbt biar yang lainnya tobat dan darah nya dapat mengampuni khilaf nya,"['bagus', 'nya', 'kalau', 'peduli', 'atas', 'pelaku', 'lgbt', 'kita', 'gelar', 'rajam', 'lempar', 'batu', 'di', 'monas', 'buat', 'pelaku', 'lgbt', 'biar', 'yang', 'lainnya', 'tobat', 'dan', 'darah', 'nya', 'dapat', 'mengampuni', 'khilaf', 'nya']","['bagus', 'nya', 'kalau', 'peduli', 'atas', 'pelaku', 'lgbt', 'kita', 'gelar', 'rajam', 'lempar', 'batu', 'di', 'monas', 'buat', 'pelaku', 'lgbt', 'biar', 'yang', 'lainnya', 'tobat', 'dan', 'darah', 'nya', 'dapat', 'mengampuni', 'khilaf', 'nya']","['bagus', 'nya', 'peduli', 'pelaku', 'lgbt', 'gelar', 'rajam', 'lempar', 'batu', 'monas', 'pelaku', 'lgbt', 'biar', 'tobat', 'darah', 'nya', 'mengampuni', 'khilaf', 'nya']","['bagus', 'nya', 'peduli', 'laku', 'lgbt', 'gelar', 'rajam', 'lempar', 'batu', 'monas', 'laku', 'lgbt', 'biar', 'tobat', 'darah', 'nya', 'ampun', 'khilaf', 'nya']",bagus nya peduli laku lgbt gelar rajam lempar batu monas laku lgbt biar tobat darah nya ampun khilaf nya
"belajar dari kasus setya novanto mungkin , mempermasalahkan meme masker malah jatuh citra nya kan .",negative,belajar dari kasus setya novanto mungkin mempermasalahkan meme masker malah jatuh citra nya kan ,belajar dari kasus setya novanto mungkin mempermasalahkan meme masker malah jatuh citra nya kan ,"['belajar', 'dari', 'kasus', 'setya', 'novanto', 'mungkin', 'mempermasalahkan', 'meme', 'masker', 'malah', 'jatuh', 'citra', 'nya', 'kan']","['belajar', 'dari', 'kasus', 'setya', 'novanto', 'mungkin', 'mempermasalahkan', 'meme', 'masker', 'malah', 'jatuh', 'citra', 'nya', 'kan']","['belajar', 'setya', 'novanto', 'mempermasalahkan', 'meme', 'masker', 'jatuh', 'citra', 'nya']","['ajar', 'setya', 'novanto', 'masalah', 'meme', 'masker', 'jatuh', 'citra', 'nya']",ajar setya novanto masalah meme masker jatuh citra nya
berita indonesia : presiden jokowi : denyut nadi perekonomian ada di pasar rakyat,neutral,berita indonesia presiden jokowi denyut nadi perekonomian ada di pasar rakyat,berita indonesia presiden jokowi denyut nadi perekonomian ada di pasar rakyat,"['berita', 'indonesia', 'presiden', 'jokowi', 'denyut', 'nadi', 'perekonomian', 'ada', 'di', 'pasar', 'rakyat']","['berita', 'indonesia', 'presiden', 'jokowi', 'denyut', 'nadi', 'perekonomian', 'ada', 'di', 'pasar', 'rakyat']","['berita', 'indonesia', 'presiden', 'jokowi', 'denyut', 'nadi', 'perekonomian', 'pasar', 'rakyat']","['berita', 'indonesia', 'presiden', 'jokowi', 'denyut', 'nadi', 'ekonomi', 'pasar', 'rakyat']",berita indonesia presiden jokowi denyut nadi ekonomi pasar rakyat
"rumah makan sari raos ini tempat nya bersih dan nyaman , memiliki pelayanan yang baik dan staff nya ramah ramah khas nya orang sunda . menu makanan cukup variatif dengan masakan ala khas sunda dengan cita rasa yang enak dan harga terjangkau .",positive,rumah makan sari raos ini tempat nya bersih dan nyaman memiliki pelayanan yang baik dan staff nya ramah ramah khas nya orang sunda menu makanan cukup variatif dengan masakan ala khas sunda dengan cita rasa yang enak dan harga terjangkau ,rumah makan sari raos ini tempat nya bersih dan nyaman memiliki pelayanan yang baik dan staff nya ramah ramah khas nya orang sunda menu makanan cukup variatif dengan masakan ala khas sunda dengan cita rasa yang enak dan harga terjangkau ,"['rumah', 'makan', 'sari', 'raos', 'ini', 'tempat', 'nya', 'bersih', 'dan', 'nyaman', 'memiliki', 'pelayanan', 'yang', 'baik', 'dan', 'staff', 'nya', 'ramah', 'ramah', 'khas', 'nya', 'orang', 'sunda', 'menu', 'makanan', 'cukup', 'variatif', 'dengan', 'masakan', 'ala', 'khas', 'sunda', 'dengan', 'cita', 'rasa', 'yang', 'enak', 'dan', 'harga', 'terjangkau']","['rumah', 'makan', 'sari', 'raos', 'ini', 'tempat', 'nya', 'bersih', 'dan', 'nyaman', 'memiliki', 'pelayanan', 'yang', 'baik', 'dan', 'staff', 'nya', 'ramah', 'ramah', 'khas', 'nya', 'orang', 'sunda', 'menu', 'makanan', 'cukup', 'variatif', 'dengan', 'masakan', 'ala', 'khas', 'sunda', 'dengan', 'cita', 'rasa', 'yang', 'enak', 'dan', 'harga', 'terjangkau']","['rumah', 'makan', 'sari', 'raos', 'nya', 'bersih', 'nyaman', 'memiliki', 'pelayanan', 'staff', 'nya', 'ramah', 'ramah', 'khas', 'nya', 'orang', 'sunda', 'menu', 'makanan', 'variatif', 'masakan', 'ala', 'khas', 'sunda', 'cita', 'enak', 'harga', 'terjangkau']","['rumah', 'makan', 'sari', 'raos', 'nya', 'bersih', 'nyaman', 'milik', 'layan', 'staff', 'nya', 'ramah', 'ramah', 'khas', 'nya', 'orang', 'sunda', 'menu', 'makan', 'variatif', 'masakan', 'ala', 'khas', 'sunda', 'cita', 'enak', 'harga', 'jangkau']",rumah makan sari raos nya bersih nyaman milik layan staff nya ramah ramah khas nya orang sunda menu makan variatif masakan ala khas sunda cita enak harga jangkau
"jika anda sedang di bandung dan ingin mencicipi tempat dengan berbagai jenis makanan , anda bisa mencoba datang ke sini . dengan banyak stand makanan yang tersedia , mungkin anda akan bingung menentukan pilihan untuk dimakan : apa . harga nya saya rasa masih terjangkau . jangan lupa bawa payung kalau hujan , jika tidak basah karena tempat parkir dan stand makan nya cukup jauh .",positive,jika anda sedang di bandung dan ingin mencicipi tempat dengan berbagai jenis makanan anda bisa mencoba datang ke sini dengan banyak stand makanan yang tersedia mungkin anda akan bingung menentukan pilihan untuk dimakan apa harga nya saya rasa masih terjangkau jangan lupa bawa payung kalau hujan jika tidak basah karena tempat parkir dan stand makan nya cukup jauh ,jika anda sedang di bandung dan ingin mencicipi tempat dengan berbagai jenis makanan anda bisa mencoba datang ke sini dengan banyak stand makanan yang tersedia mungkin anda akan bingung menentukan pilihan untuk dimakan apa harga nya saya rasa masih terjangkau jangan lupa bawa payung kalau hujan jika tidak basah karena tempat parkir dan stand makan nya cukup jauh ,"['jika', 'anda', 'sedang', 'di', 'bandung', 'dan', 'ingin', 'mencicipi', 'tempat', 'dengan', 'berbagai', 'jenis', 'makanan', 'anda', 'bisa', 'mencoba', 'datang', 'ke', 'sini', 'dengan', 'banyak', 'stand', 'makanan', 'yang', 'tersedia', 'mungkin', 'anda', 'akan', 'bingung', 'menentukan', 'pilihan', 'untuk', 'dimakan', 'apa', 'harga', 'nya', 'saya', 'rasa', 'masih', 'terjangkau', 'jangan', 'lupa', 'bawa', 'payung', 'kalau', 'hujan', 'jika', 'tidak', 'basah', 'karena', 'tempat', 'parkir', 'dan', 'stand', 'makan', 'nya', 'cukup', 'jauh']","['jika', 'anda', 'sedang', 'di', 'bandung', 'dan', 'ingin', 'mencicipi', 'tempat', 'dengan', 'berbagai', 'jenis', 'makanan', 'anda', 'bisa', 'mencoba', 'datang', 'ke', 'sini', 'dengan', 'banyak', 'stand', 'makanan', 'yang', 'tersedia', 'mungkin', 'anda', 'akan', 'bingung', 'menentukan', 'pilihan', 'untuk', 'dimakan', 'apa', 'harga', 'nya', 'saya', 'rasa', 'masih', 'terjangkau', 'jangan', 'lupa', 'bawa', 'payung', 'kalau', 'hujan', 'jika', 'tidak', 'basah', 'karena', 'tempat', 'parkir', 'dan', 'stand', 'makan', 'nya', 'cukup', 'jauh']","['bandung', 'mencicipi', 'jenis', 'makanan', 'mencoba', 'stand', 'makanan', 'tersedia', 'bingung', 'menentukan', 'pilihan', 'dimakan', 'harga', 'nya', 'terjangkau', 'lupa', 'bawa', 'payung', 'hujan', 'basah', 'parkir', 'stand', 'makan', 'nya']","['bandung', 'cicip', 'jenis', 'makan', 'coba', 'stand', 'makan', 'sedia', 'bingung', 'tentu', 'pilih', 'makan', 'harga', 'nya', 'jangkau', 'lupa', 'bawa', 'payung', 'hujan', 'basah', 'parkir', 'stand', 'makan', 'nya']",bandung cicip jenis makan coba stand makan sedia bingung tentu pilih makan harga nya jangkau lupa bawa payung hujan basah parkir stand makan nya
"anggota komisi iv ,: pks telah melakukan proses panjang dalam menentukan calon kepala daerah pilkada serentak 2018 pada 171 pilkada 2018 yang meliputi 17 provinsi , 115 kabupaten , dan 39 kota .",neutral,anggota komisi iv pks telah melakukan proses panjang dalam menentukan calon kepala daerah pilkada serentak pada pilkada yang meliputi provinsi kabupaten dan kota ,anggota komisi iv pks telah melakukan proses panjang dalam menentukan calon kepala daerah pilkada serentak pada pilkada yang meliputi provinsi kabupaten dan kota ,"['anggota', 'komisi', 'iv', 'pks', 'telah', 'melakukan', 'proses', 'panjang', 'dalam', 'menentukan', 'calon', 'kepala', 'daerah', 'pilkada', 'serentak', 'pada', 'pilkada', 'yang', 'meliputi', 'provinsi', 'kabupaten', 'dan', 'kota']","['anggota', 'komisi', 'iv', 'pks', 'telah', 'melakukan', 'proses', 'panjang', 'dalam', 'menentukan', 'calon', 'kepala', 'daerah', 'pilkada', 'serentak', 'pada', 'pilkada', 'yang', 'meliputi', 'provinsi', 'kabupaten', 'dan', 'kota']","['anggota', 'komisi', 'iv', 'pks', 'proses', 'menentukan', 'calon', 'kepala', 'daerah', 'pilkada', 'serentak', 'pilkada', 'meliputi', 'provinsi', 'kabupaten', 'kota']","['anggota', 'komisi', 'iv', 'pks', 'proses', 'tentu', 'calon', 'kepala', 'daerah', 'pilkada', 'serentak', 'pilkada', 'liput', 'provinsi', 'kabupaten', 'kota']",anggota komisi iv pks proses tentu calon kepala daerah pilkada serentak pilkada liput provinsi kabupaten kota
