text,sentiment
"yang saya kagum pada pak say karena beliau demokrat sejati . walo militer , dibully dicaci tapi tak represif .",positive
"suasana nyaman , harga terjangkau , rasa enak , sedia kursi bayi , kamar mandi bersih , ada musala , pegawai ramah , setelah pesan makanan keluar agak lama , tempat parkir tidak terlalu luas .",positive
tempat makan yang bersahabat di dompet . tempat makan ini menyediakan berbagai masakan sunda dengan suasana tempat makan yang kental adat sunda . berkunjunglah sebelum waktu makan siang karena saat makan siang orang-orang akan menanti untuk makan di tempat ini . rasa makanan yang pas di lidah dan harga yang bersahabat mungkin membuat tempat makan yang satu ini ramai dikunjungi pengunjung .,positive
"beli kaos , topi atau jam tangan di lapak monoton roomstore bisa diego khusus pakai aplikasi di hape boskuh .",neutral
": siang kak , yuk informasikan bukan yang bermasalah , tanggal kejadian , pulsa awal dan akhir serta pulsa yang berkurang ya",neutral
makanan nya enak dan bervariasi . ada makanan lokal dan interlokal . jus nya segar sekali dan banyak pilihan . dengan pemandangan restoran yang menghadap hutan yang cantik sejuk sekali makan bersama keluarga atau pasangan di restoran ini,positive
"vivalife : bila dipinang pdip , ridwan kamil bisa kandas di jawa barat .",neutral
secara umum tidak ada yang spesial dengan menu yang ditawarkan oleh coco rico . saya memesan sirloin steak medium baik dan carbonara spaghetti . untuk carbonara menurut saya lumayan dengan porsi yang cukup besar sedangkan steak nya agak kenyal . menurut saya tempat ini lebih cocok untuk yang akan berkumpul sambil menikmati lampu-lampu kota bandung di kejauhan .,positive
"kualitas lounge di t3u ap2 amat mengecewakan . jauh dari eskalator , melalui lorong-lorong kotor . desain sempit memanjang .",negative
"natalius pigai : jika prabowo ingin jadi presiden 2019 , dukung saya jadi gubernur papua -",neutral
"makan di sini karena iseng , sudah mendekati jam 12 malam . walaupun hampir tengah malam , tetapi suasa nya masih ramai . padahal hari senin . untuk yang tidak mau makanan terlalu berat , pilihan nya banyak . ada roti bakar , indomie mi instan , pisang bakar . dan masing-masing menu tersebut tersedia banyak varian bisa di-browse sendiri untuk menu pilihan nya , karena saya tidak sempat memfoto nya hehe .",positive
"parkiran cukup luas dengan tambahan parkir di pinggir jalan yang terkoordinasi dengan baik . ruang restoran cukup luas dan nyaman , dan makanan nya : memuaskan ! ikan nya ada pilihan berup ikan hidup atau ikan segar yang disimpan di dalam peti es . menu kepiting meskipun saya tidak makan kepiting karena alasan agama , tapi kebetulan tiap ke sini , anggota tema selalu memesan kepiting nya sangat menggugah selera .",positive
tni ada 57 orang ikuti binkom apintel / pam tni di kodam ii / sriwijaya,neutral
mister . ini mahal karena makanan ini makanan yang tidak laku di indonesia mister .,negative
"masih di sekitaran setiabudi , yang banyak sekali resto , kafe dll. nah kali ini kami mencoba ke tempat ini hitam romantiuc . untuk mencoba iga konro nya , dan masih banyak lagi menu yang lainnya seperti masakan westrn indonesia dan asia lainnya . harga nya murah dan pasti terjangkau sekali . apalagi untuk anak-anak muda .",positive
selamatkan anggota kami . anggota pki adalah anggota paling suci sedangkan islam itu sesat .,negative
"mi enak , bakso mantap , kuah segar . sayang saos dicampur langsung ke bumbu bakmi , secara saya tidak suka kalau makanan langsung diberi saos . merusak rasa asli . yang menonjol bagi saya adalah harga untuk menu-menu yang disajikan . - bakso goreng , 3 butir rp . 28.000 . - menu tambahan , meski kita tidak pesan namun di meja tetap disajikan . - seporsi mi ayam manis pedas .",neutral
"pilihan restoran dengan menu-menu makanan indonesia maupun eropa dengan harga yang terjangkau dan porsi yang mengenyangkan . untuk saat-saat tertentu , misal : malam minggu , atau untuk buka puasa , ada baiknya datang lebih awal karena meja yang berbanding terbalik dengan jumlah konsumen yang datang .",positive
berita indonesia : presiden jokowi : denyut nadi perekonomian ada di pasar rakyat,neutral
"setuju banget sama solusi yang ditawari anies baswedan dan sandiaga uno buat memperbaiki ibukota , saya dukung dan terus berdoa buat kebaikan dua bapak hebat ini .",positive
"ketika terjadi pertentangan antara kontrak politik dengan kontrak sosial , realitas sosial harus dikedepankan",neutral
pergi ke sini enakan malam hari . banyak pasang lampu-lampu disepanjang jalan . tetapi waktu ke sana siang hari . pas bulan puasa . jadi jual makanan nya jam 12 siang . ada juga jual souvenir dan baju-baju,positive
kenapa kamu jerat buni yani undang-undang ite ? padahal jelas-jelas itu video berasal dari youtube yang diunggah oleh pemprov itu sendiri . harus nya yang kena undang-undang ite itu pemprov bukan buni yani . ya kan ?,negative
"terima kasih atas jasa nya , saya sangat puas , pelayanan nya sangat baik dan ramah , pendamping nya juga keren , menyenangkan .",positive
"tempat nya menarik , dengan konsep yang sangat pabrik . sayang nya hampir seluruh menu nya non halal .",neutral
gladi bersih risma at taqwa untuk maulid esok 29 desember malam ba da isya,neutral
berbagi berkah bersama sinde ! dapatkan 50 paket umroh setiap pembelian minimal rp 15.000 di alfamart .,neutral
pengamat politik dari forum masyarakat peduli parlemen indonesia lucius karus mengungkapkan sejumlah faktor yang menyebabkan pemilih berpaling dari partai demokrat .,neutral
"gas , mustika ratu sudah merilis lipstik warna kuning , biru , dan warna-warna bold lainnya",neutral
"allah meridhoi pemimpin yang adil , amanah , komunikatif dan berilmu sert siap mewakafkan diri nya tuk jatim , yang terbukti berani membela yang benar tanpa rasa takut sedikitpun",neutral
"berkesempatan menikmati santap pagi dikarenakan sedang menginap di hotel padma bandung . sebagai pengunjung baru seperti saya dan mungkin yang lainnya barangkali akan antusias terhadap suasana santap pagi yang diwarnai dengan pemandangan dari sisi timur , karena dari sisi tersebut terdapat keindahan bangunan hotel berikut kolam renang - nya , selain itu juga terdapat barisan bukit dan pegunungan akan menambah keinginan untuk berfoto ria",positive
biasanya kita ke yogya depo toko untuk belanja . sekarang kadang kita hanya niat makan di sini . menu nya banyak pilihan dari tempat makan yang halal . minuman juga makanan penutup ada . satu tempat untuk datang bersama keluarga dengan selera makan yang berbeda .,positive
"cuma kalau besok mau mencari , dia ada di rak yang dekat cream krim wardah bersebrangan sama rak lotion citra , sistur .",neutral
jelang duel barca vs milan disambut hujan angin seharian ! alam pun tahu dan menangis sedih melihat permainan trik kotor kedua tim ck ck ck,negative
bagi teman-teman yang sedang berkunjung ke bandung bisa mampir ke kopi anjis untuk makan makanan yang tidak terlalu berat . ada cilok rakyat ditemankan dengan teh sereh dan lekker .,positive
"semoga selalu setia menemani rakyat indonesia dari sabang - merauke , dari kota sampai pelosok desa .",neutral
admin minta tolong indosat tidak 085727272786 tanggal 19 . 10.17 pukul 10.29 di isi pulsa 25 ribu .,neutral
"bilang barang asli , padahal enggak ! kaco lazada ! new balance apa nih kayak satu pasar !",neutral
"semuanya enak , sambal nya seuhah , cuma sekarang porsi nya agak dikurangi . ayam nya jadi kecil , sambal nya jadi sedikit , juga sambal leunca nya jadi sedikit .",positive
jadilah pemenang dan raih hadiah senilai 33 juta rupiah dengan ikutan kompetisi gaming lenovo di cyber caf terdekat,neutral
"kangkung hotplate sapi nya sebenarnya enak . tapi kami kaget melihat tali rafia dalam makanan kami . ketika dikomplain , tidak ada permintaan maaf sama sekali , hanya pembelaan . bahkan kami membayar satu porsi penuh walaupun pesanan kami dengan jelas tertulis setengah porsi .",negative
dipecat berarti sudah tidak dipakai kan ? dipecat karena apa ya ? mungkin dia cabut ya .,negative
"jual betrayal pengkhianatan sang kekasih by gillian shields hanya rp 30.000 , untuk pemesanan bisa klik tautan di bawah ini .",neutral
berdebat dengan para ahli kitab yang lemah syahwat itu menyebalkan . dikritik bgtu malah dibilang sesat . dikasih dalil minta tafsir . dikasih tafsir minta logika . kalau tidak sesuai dengan syahwat mereka ya tetap dinista ?,negative
"101 dalmatians : the series adalah sebuah seri animasi televisi yang diproduksi oleh disney television animation , bekerja sama dengan jumbo pictures .",neutral
"ahmad yohan kok goblok ya , bisa-bisa nya dia bilang zaidit mewakili kita semua . kamu saja kali kontol !",negative
minimal driver ini tidak mau pickup barang dari tadi siang . mohon ditindaklanjuti .,neutral
"foodcourt di luar yang luas menyajikan segala makanan dari tradisional hingga yang termodern , dari harga yang murah meriah hingga yang mahal . penataan dekorasi yang apik akan membuat betah . sayang pada saat ke sini cuaca sedang hujan gerimis sehingga harus berjalan agak jauh untuk memilih tempat duduk",positive
suruh ngaca pemain nya ! dasar oneng ! ngomong saja masih ala betawi lu ! kampungan !,negative
"tempat unik , bagus buat foto , makanan enak , pegawai ramah , bersih dan luas , wifi kencang . harga standar dan sesuai dengan tempat nya . ada menu masakan makanan barat dan indonesia . menu favorit lychee mojito dan spagheti",positive
"saya memesan sausage , steak , mushroom soup , iced banana chocolate . si sausage ini di kasih 2 sama side dish mashed potato . gila asiiiiin sekali sampai saya gakuat makan nya dan tidak habis , padahal saya sudah gelapkan itu asin pakai tisu . si steak ini saya pesan baik dong dan agak alot begitu daging nya . mushroom soup ini biasa banget .",negative
kawan teman teman jangan sekali kali belanja di bukalapak tidak beres pengiriman nya dan hati hati banyak penipuan dan cuma janji janji doang . dan saya kecewa banget pesan barang di bukalapak . kata nya 2 hari sampai dan 1 minggu belum juga sampai .,negative
"kalau mau cari port makanan yang enak , cobalah ke puri bambu . old resto but still have bagus makanan there . kemarin nyobain bakut kuah sate babi . saya pesan yang daging samcan , pas rasa enak . bakut kuah nya kalau dimakan begitu saja sih asin , tapi setelah dikasih sambal baru terasa pas di lidah . harga tidak mahal , terjangkau buat kita .",positive
"bubur kental nya pas , tambahan nya banyak dan potongan nya besar-besar cakue , ayam , ati ampela . tempat nya pinggir jalan , mungkin untuk sebagian orang tidak nyaman . banyak yang makan di mobil / dibungkus untuk dibawa pulang . datang nya biar aman sudah pasti siap jualan jam 5.30 atau jam 6 sore .",positive
"para cebong yang selama ini menuduh saya mencuri uang sedekah 30 %, silakan anda urus si aris wahyudi ini . dia ambil komisi 20 % untuk transaksi pelacuran berkedok agama . berani tidak , membulat si aris wahyudi ini ? atau kamu semua cuma berani sama jonru ?",negative
"mantap . bakso nya empuk lembut sekali , rasanya enak , banyak variasi nya . harga murah . pokok nya wajib coba deh .",positive
tempat makan bubur yang enak untuk sara pun dan sudah langganan dari lama . kalau pagi kadang suka penuh dan tidak jarang beberapa kali kehabisan . pokok nya enak deh,positive
tagihan indihome saya enggak make sense 250 % lebih mahal kakak ! butuh penjelasan,negative
"ternyata banyak banget pengecut dan orang sombong di dunia ini . world cruel , saya lever realized .",negative
"untuk pertama kalinya kami mencoba makan malam di restoran yang kata nya dicari cari karena sejarah nya ternyata dihari biasapun restoran ini sangat padat pengunjung . pilihan menu sangat variatif : mulai dari italian , mexican , indonesian , dan lain-lain kami mencoba order pizza yang super enak , lasagna lezat dan mengenyangkan , mi goreng kepiting porsi besar dan enak , lidah beef tongue - 2 potong dengan rasa yang pas di lidah .",positive
"tidak jadi masalah . wong pendukung say juga koruptor semua , sudah berapa orang kader demokrat yang sudah di jebloskan ke kebun binatang .",negative
"nama mal kurang sesuai dengan kenyataan . hanya restoran saja dan beberapa mahal harga - nya , kalau tidak ada cgv blitz mungkin makin sepi saja mal ini . ke sana hanya untuk makan burger saja , yang lain mahal . bisa bisa 100 ribu habis untuk makan malam saja untuk 1 orang",negative
"master of none . sayang - nya walau semua makanan enak bandung seolah berkumpul di sini , tapi kualitas makanan yang disajikan lebih rendah daripada kalau kita menyantap di lokasi asli - nya . sebut saja iga bakar jangkung yang lebih mantap dinikmati langsung di cipaganti .",positive
"dessert nya suka banget , enak rasanya pas , tempat nya nyaman , bersih dan elegant . banyak makanan yang unik hidangan nya",positive
"sangat keliru analisis anda , kesalahan paling fatal adalah demiz jadi kader demokrat top ada pembicaraan sebelumnya dan saat masih tahap negoisasi dengan gerindra , lanjut nya demiz memberikan izin meikarta di saat pak hica pandjaitan hadir di peresmian meikarta .",negative
"tidak banyak bicara langsung to dipoin saja , semua menu yang di suguh kan paling enak deh , apalagi ditunjangdengan tempat yang bersih , eh nyaman deh . tahun depan kami sekeluarga akan berkunjung lagi kemari .",positive
"polisi tuduh anggota fpi lakukan kekerasan , pushami : buktikan dengan visum korban",neutral
"salah satu hal yang saya benci , kalau ada film yang tokoh utama nya mati di akhir jalan cerita .",negative
"mantap juga bahasa nya jubir dpd sul - sel , berbeda dengan pernyataan nya dengan koordinator wilayah pg sulsel abdul karim . pak yang mana sebenarnya diberikan rekomendasi di pilwalkot palopo sul - sel . apa ke ketua dpc nasdem .",neutral
"jokowi sulit dilawan oleh siapapun , hanya kematian yang dapat menggagalkan jokowi dua periode . dan gue benci kenyataan itu .",negative
sudah makan mi ini sejak kuliah dulu . rasanya tidak pernah berubah . enak . segar . tapi kalau ingin kikil nya lebih banyak bisa coba mi kocok di jalan banda . samping fo summit . wuih . mantap .,positive
"bukan cuma janji , jokowi bisa merealisasikan ucapan nya , salut sama kerja presiden satu itu .",positive
"saya menginap di sekitar cihampelas untuk menunggu penerbangan esok hari , di dekat hotel saya menemukan restoran kambing bakar cairo . dari depan , terlihat kepulan asap dengan aroma menggoda membuat saya langsung melangkahkan kaki memasuki nya . ada beberapa menu antara lain iga , paha , punggung kambing bakar dengan ukuran small , medium , large , juga terdapat menu kari kambing , serta nasi goreng kambing .",positive
